City,State,Provider ID,Hospital Name,County Name,HCAHPS Question Type,Patient Survey Star Rating (out of 5),Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date,,
FAYETTE,AL,10045,FAYETTE MEDICAL CENTER,FAYETTE,Summary star rating,4,183,25,4/1/2016,3/31/2017,,
FLORENCE,AL,10006,ELIZA COFFEE MEMORIAL HOSPITAL,LAUDERDALE,Summary star rating,3,359,23,4/1/2016,3/31/2017,,
FOLEY,AL,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,BALDWIN,Summary star rating,4,707,29,4/1/2016,3/31/2017,,
FORT PAYNE,AL,10012,DEKALB REGIONAL MEDICAL CENTER,DE KALB,Summary star rating,3,547,27,4/1/2016,3/31/2017,,
GADSDEN,AL,10040,GADSDEN REGIONAL MEDICAL CENTER,ETOWAH,Summary star rating,3,1911,28,4/1/2016,3/31/2017,,
GADSDEN,AL,10046,RIVERVIEW REGIONAL MEDICAL CENTER,ETOWAH,Summary star rating,2,421,27,4/1/2016,3/31/2017,,
GENEVA,AL,10062,WIREGRASS MEDICAL CENTER,GENEVA,Summary star rating,4,176,27,4/1/2016,3/31/2017,,
GEORGIANA,AL,10047,GEORGIANA MEDICAL CENTER,BUTLER,Summary star rating,0,98,33,4/1/2016,3/31/2017,,
GREENSBORO,AL,10095,HALE COUNTY HOSPITAL,HALE,Summary star rating,0,67,35,4/1/2016,3/31/2017,,
GREENVILLE,AL,10150,L V STABLER MEMORIAL HOSPITAL,BUTLER,Summary star rating,4,160,31,4/1/2016,3/31/2017,,
GROVE HILL,AL,10091,GROVE HILL MEMORIAL HOSPITAL,CLARKE,Summary star rating,4,126,28,4/1/2016,3/31/2017,,
HALEYVILLE,AL,10125,LAKELAND COMMUNITY HOSPITAL,WINSTON,Summary star rating,3,287,32,4/1/2016,3/31/2017,,
HAMILTON,AL,10044,MARION REGIONAL MEDICAL CENTER,MARION,Summary star rating,4,112,25,4/1/2016,3/31/2017,,
HUNTSVILLE,AL,10131,CRESTWOOD MEDICAL CENTER,MADISON,Summary star rating,3,818,32,4/1/2016,3/31/2017,,
HUNTSVILLE,AL,10039,HUNTSVILLE HOSPITAL,MADISON,Summary star rating,4,2143,23,4/1/2016,3/31/2017,,
JACKSON,AL,10128,JACKSON MEDICAL CENTER,CLARKE,Summary star rating,4,115,27,4/1/2016,3/31/2017,,
JACKSONVILLE,AL,10146,RMC JACKSONVILLE,CALHOUN,Summary star rating,0,65,14,4/1/2016,3/31/2017,,
JASPER,AL,10089,WALKER BAPTIST MEDICAL CENTER,WALKER,Summary star rating,3,530,21,4/1/2016,3/31/2017,,
LUVERNE,AL,10008,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW,Summary star rating,0,80,26,4/1/2016,3/31/2017,,
MOBILE,AL,10113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,Summary star rating,4,1341,36,4/1/2016,3/31/2017,,
MOBILE,AL,10090,PROVIDENCE HOSPITAL,MOBILE,Summary star rating,3,1247,33,4/1/2016,3/31/2017,,
MOBILE,AL,10144,SPRINGHILL MEMORIAL HOSPITAL,MOBILE,Summary star rating,3,2759,32,4/1/2016,3/31/2017,,
MOBILE,AL,10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,Summary star rating,4,726,27,4/1/2016,3/31/2017,,
MONROEVILLE,AL,10120,MONROE COUNTY HOSPITAL,MONROE,Summary star rating,4,219,29,4/1/2016,3/31/2017,,
MONTGOMERY,AL,10149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,Summary star rating,4,1016,23,4/1/2016,3/31/2017,,
MONTGOMERY,AL,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,Summary star rating,3,1295,25,4/1/2016,3/31/2017,,
MONTGOMERY,AL,10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,Summary star rating,3,2149,25,4/1/2016,3/31/2017,,
MOULTON,AL,10059,LAWRENCE MEDICAL CENTER,LAWRENCE,Summary star rating,3,106,22,4/1/2016,3/31/2017,,
MUSCLE SHOALS,AL,10157,SHOALS HOSPITAL,COLBERT,Summary star rating,3,212,19,4/1/2016,3/31/2017,,
ONEONTA,AL,11305,ST VINCENTS BLOUNT,BLOUNT,Summary star rating,4,153,30,4/1/2016,3/31/2017,,
OPELIKA,AL,10029,EAST ALABAMA MEDICAL CENTER,LEE,Summary star rating,3,1549,25,4/1/2016,3/31/2017,,
OPP,AL,10007,MIZELL MEMORIAL HOSPITAL,COVINGTON,Summary star rating,4,146,32,4/1/2016,3/31/2017,,
OZARK,AL,10021,DALE MEDICAL CENTER,DALE,Summary star rating,4,187,26,4/1/2016,3/31/2017,,
PELL CITY,AL,10130,ST VINCENT'S ST CLAIR,SAINT CLAIR,Summary star rating,4,374,36,4/1/2016,3/31/2017,,
PHENIX CITY,AL,10168,JACK HUGHSTON MEMORIAL HOSPITAL,RUSSELL,Summary star rating,4,322,51,4/1/2016,3/31/2017,,
PRATTVILLE,AL,10108,PRATTVILLE BAPTIST HOSPITAL,AUTAUGA,Summary star rating,4,671,25,4/1/2016,3/31/2017,,
RED BAY,AL,11302,RED BAY HOSPITAL,FRANKLIN,Summary star rating,0,67,27,4/1/2016,3/31/2017,,
RUSSELLVILLE,AL,10158,RUSSELLVILLE HOSPITAL,FRANKLIN,Summary star rating,3,327,25,4/1/2016,3/31/2017,,
SCOTTSBORO,AL,10061,HIGHLANDS MEDICAL CENTER,JACKSON,Summary star rating,3,305,29,4/1/2016,3/31/2017,,
SELMA,AL,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,DALLAS,Summary star rating,2,481,24,4/1/2016,3/31/2017,,
SHEFFIELD,AL,10019,HELEN KELLER MEMORIAL HOSPITAL,COLBERT,Summary star rating,4,539,22,4/1/2016,3/31/2017,,
SYLACAUGA,AL,10164,COOSA VALLEY MEDICAL CENTER,TALLADEGA,Summary star rating,3,623,32,4/1/2016,3/31/2017,,
TALLADEGA,AL,10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,Summary star rating,3,273,21,4/1/2016,3/31/2017,,
TALLASSEE,AL,10034,COMMUNITY HOSPITAL INC,ELMORE,Summary star rating,4,268,36,4/1/2016,3/31/2017,,
TROY,AL,10126,TROY REGIONAL MEDICAL CENTER,PIKE,Summary star rating,3,327,34,4/1/2016,3/31/2017,,
TUSCALOOSA,AL,10092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,Summary star rating,3,1213,16,4/1/2016,3/31/2017,,
UNION SPRINGS,AL,10110,BULLOCK COUNTY HOSPITAL,BULLOCK,Summary star rating,0,52,28,4/1/2016,3/31/2017,,
WEDOWEE,AL,10032,WEDOWEE HOSPITAL,RANDOLPH,Summary star rating,0,FEWER THAN 50,31,4/1/2016,3/31/2017,,
WETUMPKA,AL,10097,ELMORE COMMUNITY HOSPITAL,ELMORE,Summary star rating,4,123,33,4/1/2016,3/31/2017,,
WINFIELD,AL,10086,NORTHWEST MEDICAL CENTER,MARION,Summary star rating,4,224,29,4/1/2016,3/31/2017,,
ARKADELPHIA,AR,41321,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,CLARK,Summary star rating,4,245,24,4/1/2016,3/31/2017,,
BATESVILLE,AR,40119,WHITE RIVER MEDICAL CENTER,INDEPENDENCE,Summary star rating,3,1128,31,4/1/2016,3/31/2017,,
BENTON,AR,40084,SALINE MEMORIAL HOSPITAL,SALINE,Summary star rating,2,694,18,4/1/2016,3/31/2017,,
BERRYVILLE,AR,41329,MERCY HOSPITAL BERRYVILLE,CARROLL,Summary star rating,5,102,42,4/1/2016,3/31/2017,,
BLYTHEVILLE,AR,40069,GREAT RIVER MEDICAL CENTER,MISSISSIPPI,Summary star rating,2,177,13,4/1/2016,3/31/2017,,
BOONEVILLE,AR,41318,MERCY HOSPITAL BOONEVILLE,LOGAN,Summary star rating,0,FEWER THAN 50,31,4/1/2016,3/31/2017,,
CALICO ROCK,AR,41306,"IZARD COUNTY MEDICAL CENTER, LLC",IZARD,Summary star rating,0,94,31,4/1/2016,3/31/2017,,
CAMDEN,AR,40050,OUACHITA COUNTY MEDICAL CENTER,OUACHITA,Summary star rating,4,256,26,4/1/2016,3/31/2017,,
CLARKSVILLE,AR,40002,JOHNSON REGIONAL MEDICAL CENTER,JOHNSON,Summary star rating,4,233,21,4/1/2016,3/31/2017,,
CLINTON,AR,41313,OZARK HEALTH,VAN BUREN,Summary star rating,0,97,26,4/1/2016,3/31/2017,,
CONWAY,AR,40029,CONWAY REGIONAL MEDICAL CENTER,FAULKNER,Summary star rating,3,1306,22,4/1/2016,3/31/2017,,
CROSSETT,AR,41323,ASHLEY COUNTY MEDICAL CENTER,ASHLEY,Summary star rating,4,133,20,4/1/2016,3/31/2017,,
DANVILLE,AR,40011,CHAMBERS MEMORIAL HOSPITAL,YELL,Summary star rating,4,208,19,4/1/2016,3/31/2017,,
DARDANELLE,AR,41302,RIVER VALLEY MEDICAL CENTER,YELL,Summary star rating,0,98,26,4/1/2016,3/31/2017,,
DE QUEEN,AR,41319,"DE QUEEN MEDICAL CENTER, INC",SEVIER,Summary star rating,0,67,31,4/1/2016,3/31/2017,,
DE WITT,AR,41314,"DEWITT HOSPITAL & NURSING HOME, INC",ARKANSAS,Summary star rating,0,77,31,4/1/2016,3/31/2017,,
DUMAS,AR,41326,DELTA MEMORIAL HOSPITAL,DESHA,Summary star rating,0,FEWER THAN 50,7,4/1/2016,3/31/2017,,
EL DORADO,AR,40088,MEDICAL CENTER SOUTH ARKANSAS,UNION,Summary star rating,3,542,26,4/1/2016,3/31/2017,,
FAYETTEVILLE,AR,40152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,WASHINGTON,Summary star rating,4,366,33,4/1/2016,3/31/2017,,
FAYETTEVILLE,AR,40004,WASHINGTON REGIONAL MEDICAL CENTER,WASHINGTON,Summary star rating,3,1832,31,4/1/2016,3/31/2017,,
FORREST CITY,AR,40019,FORREST CITY MEDICAL CENTER,SAINT FRANCIS,Summary star rating,3,407,27,4/1/2016,3/31/2017,,
FORT SMITH,AR,40062,MERCY HOSPITAL FORT SMITH,SEBASTIAN,Summary star rating,4,2763,38,4/1/2016,3/31/2017,,
FORT SMITH,AR,40055,SPARKS REGIONAL MEDICAL CENTER,SEBASTIAN,Summary star rating,2,914,28,4/1/2016,3/31/2017,,
HARRISON,AR,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,BOONE,Summary star rating,4,561,24,4/1/2016,3/31/2017,,
HEBER SPRINGS,AR,41312,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,CLEBURNE,Summary star rating,5,191,32,4/1/2016,3/31/2017,,
HELENA,AR,40085,HELENA REGIONAL MEDICAL CENTER,PHILLIPS,Summary star rating,3,369,32,4/1/2016,3/31/2017,,
HOPE,AR,40153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,HEMPSTEAD,Summary star rating,3,148,28,4/1/2016,3/31/2017,,
HOT SPRINGS,AR,40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,GARLAND,Summary star rating,3,897,30,4/1/2016,3/31/2017,,
HOT SPRINGS,AR,40078,NATIONAL PARK MEDICAL CENTER,GARLAND,Summary star rating,3,567,31,4/1/2016,3/31/2017,,
JACKSONVILLE,AR,40074,NORTH METRO MEDICAL CENTER,PULASKI,Summary star rating,1,285,26,4/1/2016,3/31/2017,,
JONESBORO,AR,40118,NEA BAPTIST MEMORIAL HOSPITAL,CRAIGHEAD,Summary star rating,3,687,22,4/1/2016,3/31/2017,,
JONESBORO,AR,40020,ST BERNARDS MEDICAL CENTER,CRAIGHEAD,Summary star rating,3,3124,26,4/1/2016,3/31/2017,,
LITTLE ROCK,AR,40134,"ARKANSAS HEART HOSPITAL, LLC",PULASKI,Summary star rating,5,1593,34,4/1/2016,3/31/2017,,
LITTLE ROCK,AR,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,PULASKI,Summary star rating,3,3087,23,4/1/2016,3/31/2017,,
LITTLE ROCK,AR,40007,CHI-ST VINCENT INFIRMARY,PULASKI,Summary star rating,3,1425,28,4/1/2016,3/31/2017,,
LITTLE ROCK,AR,40016,UAMS MEDICAL CENTER,PULASKI,Summary star rating,3,1403,18,4/1/2016,3/31/2017,,
MAGNOLIA,AR,40067,MAGNOLIA HOSPITAL,COLUMBIA,Summary star rating,3,222,27,4/1/2016,3/31/2017,,
MALVERN,AR,40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,HOT SPRING,Summary star rating,4,167,21,4/1/2016,3/31/2017,,
MCGEHEE,AR,41308,MCGEHEE HOSPITAL,DESHA,Summary star rating,0,FEWER THAN 50,14,4/1/2016,3/31/2017,,
MENA,AR,40015,MENA REGIONAL HEALTH SYSTEM,POLK,Summary star rating,4,130,22,4/1/2016,3/31/2017,,
MONTICELLO,AR,40051,DREW MEMORIAL HOSPITAL,DREW,Summary star rating,3,263,22,4/1/2016,3/31/2017,,
MOUNTAIN HOME,AR,40027,BAXTER REGIONAL MEDICAL CENTER,BAXTER,Summary star rating,4,648,28,4/1/2016,3/31/2017,,
NASHVILLE,AR,41311,HOWARD MEMORIAL HOSPITAL,HOWARD,Summary star rating,0,82,24,4/1/2016,3/31/2017,,
NO LITTLE ROCK,AR,40147,ARKANSAS SURGICAL HOSPITAL,PULASKI,Summary star rating,5,1251,48,4/1/2016,3/31/2017,,
NORTH LITTLE ROCK,AR,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,PULASKI,Summary star rating,4,1417,25,4/1/2016,3/31/2017,,
OSCEOLA,AR,41316,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,MISSISSIPPI,Summary star rating,0,FEWER THAN 50,14,4/1/2016,3/31/2017,,
OZARK,AR,41303,MERCY HOSPITAL TURNER MEMORIAL,FRANKLIN,Summary star rating,0,FEWER THAN 50,38,4/1/2016,3/31/2017,,
PARAGOULD,AR,40039,ARKANSAS METHODIST MEDICAL CENTER,GREENE,Summary star rating,3,652,22,4/1/2016,3/31/2017,,
PIGGOTT,AR,41330,PIGGOTT COMMUNITY HOSPITAL,CLAY,Summary star rating,4,101,31,4/1/2016,3/31/2017,,
PINE BLUFF,AR,40071,JEFFERSON REGIONAL MEDICAL CENTER,JEFFERSON,Summary star rating,3,1127,22,4/1/2016,3/31/2017,,
POCAHONTAS,AR,40047,FIVE RIVERS MEDICAL CENTER,RANDOLPH,Summary star rating,0,91,33,4/1/2016,3/31/2017,,
ROGERS,AR,40010,MERCY HOSPITAL NORTHWEST ARKANSAS,BENTON,Summary star rating,3,1595,39,4/1/2016,3/31/2017,,
RUSSELLVILLE,AR,40041,ST MARYS REGIONAL MEDICAL CENTER,POPE,Summary star rating,2,520,25,4/1/2016,3/31/2017,,
SALEM,AR,41322,FULTON COUNTY HOSPITAL,FULTON,Summary star rating,4,111,26,4/1/2016,3/31/2017,,
SEARCY,AR,40014,WHITE COUNTY MEDICAL CENTER,WHITE,Summary star rating,3,954,33,4/1/2016,3/31/2017,,
SHERWOOD,AR,40137,ST VINCENT MEDICAL CENTER/NORTH,PULASKI,Summary star rating,2,354,26,4/1/2016,3/31/2017,,
SILOAM SPRINGS,AR,40001,SILOAM SPRINGS REGIONAL HOSPITAL,BENTON,Summary star rating,3,273,23,4/1/2016,3/31/2017,,
SPRINGDALE,AR,40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,WASHINGTON,Summary star rating,3,1476,25,4/1/2016,3/31/2017,,
STUTTGART,AR,40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,ARKANSAS,Summary star rating,5,231,27,4/1/2016,3/31/2017,,
VAN BUREN,AR,40018,SPARKS MEDICAL CENTER - VAN BUREN,CRAWFORD,Summary star rating,3,104,28,4/1/2016,3/31/2017,,
WALDRON,AR,41305,MERCY HOSPITAL WALDRON,SCOTT,Summary star rating,0,FEWER THAN 50,29,4/1/2016,3/31/2017,,
WALNUT RIDGE,AR,41309,LAWRENCE MEMORIAL HOSPITAL,LAWRENCE,Summary star rating,0,73,33,4/1/2016,3/31/2017,,
WARREN,AR,41327,BRADLEY COUNTY MEDICAL CENTER,BRADLEY,Summary star rating,0,56,13,4/1/2016,3/31/2017,,
WYNNE,AR,41307,CROSSRIDGE COMMUNITY HOSPITAL,CROSS,Summary star rating,4,158,31,4/1/2016,3/31/2017,,
APACHE JUNCTION,AZ,30134,BANNER GOLDFIELD MEDICAL CENTER,PINAL,Summary star rating,4,155,37,4/1/2016,3/31/2017,,
BENSON,AZ,31301,BENSON HOSPITAL,COCHISE,Summary star rating,0,72,44,4/1/2016,3/31/2017,,
BISBEE,AZ,31312,COPPER QUEEN COMMUNITY HOSPITAL,COCHISE,Summary star rating,0,FEWER THAN 50,20,4/1/2016,3/31/2017,,
BULLHEAD CITY,AZ,30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,MOHAVE,Summary star rating,2,558,28,4/1/2016,3/31/2017,,
CASA GRANDE,AZ,30016,BANNER CASA GRANDE MEDICAL CENTER,PINAL,Summary star rating,3,744,32,4/1/2016,3/31/2017,,
CHANDLER,AZ,30112,ARIZONA SPECIALTY HOSPITAL,MARICOPA,Summary star rating,5,404,45,4/1/2016,3/31/2017,,
CHANDLER,AZ,30036,CHANDLER REGIONAL MEDICAL CENTER,MARICOPA,Summary star rating,3,3566,21,4/1/2016,3/31/2017,,
CHINLE,AZ,30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,APACHE,Summary star rating,3,374,41,4/1/2016,3/31/2017,,
COTTONWOOD,AZ,30007,VERDE VALLEY MEDICAL CENTER,YAVAPAI,Summary star rating,3,691,33,4/1/2016,3/31/2017,,
FLAGSTAFF,AZ,30023,FLAGSTAFF MEDICAL CENTER,COCONINO,Summary star rating,4,1177,29,4/1/2016,3/31/2017,,
FLORENCE,AZ,30132,"FLORENCE HOSPITAL AT ANTHEM, LLC",PINAL,Summary star rating,0,81,18,4/1/2016,3/31/2017,,
FORT DEFIANCE,AZ,30071,FORT DEFIANCE INDIAN HOSPITAL,APACHE,Summary star rating,2,128,10,4/1/2016,3/31/2017,,
FORT MOHAVE,AZ,30117,VALLEY VIEW MEDICAL CENTER,MOHAVE,Summary star rating,3,336,28,4/1/2016,3/31/2017,,
GANADO,AZ,31309,SAGE MEMORIAL HOSPITAL,APACHE,Summary star rating,0,FEWER THAN 50,17,4/1/2016,3/31/2017,,
GILBERT,AZ,30122,BANNER GATEWAY MEDICAL CENTER,MARICOPA,Summary star rating,3,1200,31,4/1/2016,3/31/2017,,
GILBERT,AZ,30120,GILBERT HOSPITAL,MARICOPA,Summary star rating,0,67,17,4/1/2016,3/31/2017,,
GILBERT,AZ,30119,MERCY GILBERT MEDICAL CENTER,MARICOPA,Summary star rating,3,2268,21,4/1/2016,3/31/2017,,
GLENDALE,AZ,30094,ABRAZO ARROWHEAD CAMPUS,MARICOPA,Summary star rating,3,974,34,4/1/2016,3/31/2017,,
GLENDALE,AZ,30089,BANNER THUNDERBIRD MEDICAL CENTER,MARICOPA,Summary star rating,3,2483,29,4/1/2016,3/31/2017,,
GLOBE,AZ,31314,COBRE VALLEY REGIONAL MEDICAL CENTER,GILA,Summary star rating,2,333,31,4/1/2016,3/31/2017,,
GOODYEAR,AZ,30110,ABRAZO WEST CAMPUS,MARICOPA,Summary star rating,2,873,28,4/1/2016,3/31/2017,,
GREEN VALLEY,AZ,30137,GREEN VALLEY HOSPITAL,PIMA,Summary star rating,2,444,41,4/1/2016,3/31/2017,,
KINGMAN,AZ,30055,KINGMAN REGIONAL MEDICAL CENTER,MOHAVE,Summary star rating,3,676,26,4/1/2016,3/31/2017,,
LAKE HAVASU CITY,AZ,30069,HAVASU REGIONAL MEDICAL CENTER,MOHAVE,Summary star rating,2,434,30,4/1/2016,3/31/2017,,
LAVEEN,AZ,30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,MARICOPA,Summary star rating,0,62,11,4/1/2016,3/31/2017,,
MESA,AZ,30107,ARIZONA SPINE AND JOINT HOSPITAL,MARICOPA,Summary star rating,5,593,58,4/1/2016,3/31/2017,,
MESA,AZ,30088,BANNER BAYWOOD MEDICAL CENTER,MARICOPA,Summary star rating,3,3197,34,4/1/2016,3/31/2017,,
MESA,AZ,30065,BANNER DESERT MEDICAL CENTER,MARICOPA,Summary star rating,3,2813,30,4/1/2016,3/31/2017,,
MESA,AZ,30105,BANNER HEART HOSPITAL,MARICOPA,Summary star rating,3,682,40,4/1/2016,3/31/2017,,
MESA,AZ,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",MARICOPA,Summary star rating,2,1033,28,4/1/2016,3/31/2017,,
NOGALES,AZ,31313,HOLY CROSS HOSPITAL,SANTA CRUZ,Summary star rating,3,162,26,4/1/2016,3/31/2017,,
ORO VALLEY,AZ,30114,ORO VALLEY HOSPITAL,PIMA,Summary star rating,3,547,32,4/1/2016,3/31/2017,,
