Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOM,Max Trains In Operation,Average Speed (mi/hr),Average Passenger Trip Length (mi),Passengers per Hour,Scheduled Vehicle Revenue Miles,Vehicle Miles,Vehicle Revenue Miles,Deadhead Miles,Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Train Miles,Train Revenue Miles,Train Hours,Train Revenue Hours,Unlinked Passenger Trips,Passenger Miles,Directional Route Miles,,,,,,,,,,,,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 3,544 ",MB,PT,125,0, 11.65 , 4.49 , 31.06 ,"5,689,398 ","6,919,472 ","5,679,764 ","1,239,708 ","537,020 ","487,495 ","49,525 ",0 ,0 ,0 ,0 ,"15,141,692 ","67,971,607 ",635.8,,,,,,,,,,,,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 3,544 ",HR,DO,70,13, 21.78 , 4.88 , 145.51 ,"6,910,138 ","7,084,353 ","6,884,795 ","199,558 ","334,827 ","316,145 ","18,682 ","1,465,782 ","1,426,125 ","70,760 ","67,022 ","46,003,795 ","224,277,713 ",31.9,,,,,,,,,,,,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 3,544 ",RB,DO,33,0, 15.43 , 6.44 , 63.05 ,"1,994,217 ","2,066,164 ","1,977,433 ","88,731 ","133,985 ","128,179 ","5,806 ",0 ,0 ,0 ,0 ,"8,082,226 ","52,054,043 ",37.2,,,,,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 "," 3,172 ",MB,DO,"1,301",0, 10.15 , 3.12 , 32.92 ,"38,444,081 ","50,277,092 ","39,363,678 ","10,913,414 ","4,508,518 ","3,878,257 ","630,261 ",0 ,0 ,0 ,0 ,"127,687,553 ","399,016,612 ","2,356.5",,,,,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 "," 3,172 ",HR,DO,954,143, 24.60 , 5.92 , 78.61 ,"90,474,677 ","81,483,986 ","77,967,423 ","3,516,563 ","3,357,789 ","3,169,674 ","188,115 ","12,842,603 ","12,336,344 ","529,217 ","501,551 ","249,173,213 ","1,475,685,198 ",234.2,,,,,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 "," 3,172 ",DR,PT,642,0, 9.89 , 7.87 , 1.14 ,0 ,"22,279,391 ","18,912,329 ","3,367,062 ","2,191,662 ","1,911,342 ","280,320 ",0 ,0 ,0 ,0 ,"2,170,706 ","17,081,000 ",0.0,,,,,,,,,,,,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 "," 3,172 ",DT,PT,275,0, 23.46 , 16.51 , 1.42 ,0 ,0 ,"1,822,138 ",0 ,0 ,"77,658 ",0 ,0 ,0 ,0 ,0 ,"110,338 ","1,822,138 ",0.0,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",VP,DO,"1,469",0, 27.42 , 19.26 , 6.53 ,0 ,"14,879,324 ","14,879,324 ",0 ,"542,569 ","542,569 ",0 ,0 ,0 ,0 ,0 ,"3,540,538 ","68,191,343 ",0.0,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",MB,DO,949,0, 11.14 , 4.76 , 34.65 ,"32,008,057 ","41,037,935 ","32,450,352 ","8,587,583 ","3,290,525 ","2,912,539 ","377,986 ",0 ,0 ,0 ,0 ,"100,924,131 ","480,196,177 ","2,444.5",,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",DR,PT,174,0, 13.54 , 11.17 , 1.49 ,0 ,"9,380,470 ","7,934,196 ","1,446,274 ","672,542 ","585,957 ","86,585 ",0 ,0 ,0 ,0 ,"870,776 ","9,725,896 ",0.0,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",TB,DO,138,0, 6.80 , 1.83 , 42.19 ,"3,891,287 ","3,194,807 ","3,063,846 ","130,961 ","465,872 ","450,367 ","15,505 ",0 ,0 ,0 ,0 ,"18,999,529 ","34,676,186 ",116.9,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",DT,PT,46,0, 30.70 , 13.85 , 2.54 ,0 ,0 ,"1,336,929 ",0 ,0 ,"43,545 ",0 ,0 ,0 ,0 ,0 ,"110,665 ","1,532,467 ",0.0,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",MB,PT,32,0, 13.70 , 4.02 , 11.76 ,"1,143,049 ","1,443,318 ","1,141,070 ","302,248 ","95,008 ","83,266 ","11,742 ",0 ,0 ,0 ,0 ,"978,883 ","3,937,786 ",250.0,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",SR,DO,8,8, 4.85 , 1.15 , 34.41 ,"204,359 ","195,009 ","191,472 ","3,537 ","40,589 ","39,471 ","1,118 ","195,009 ","191,472 ","40,589 ","39,471 ","1,358,297 ","1,555,281 ",7.9,,,,,,,,,,,,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 "," 2,818 ",FB,DO,2,0, 10.15 , 4.94 , 118.21 ,"51,784 ","51,704 ","51,704 ",0 ,"5,092 ","5,092 ",0 ,0 ,0 ,0 ,0 ,"601,942 ","2,976,252 ",24.0,,,,,,,,,,,,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 "," 2,712 ",MB,DO,"1,572",0, 9.08 , 2.45 , 44.98 ,"52,168,090 ","57,732,367 ","52,304,804 ","5,427,563 ","6,197,100 ","5,758,937 ","438,163 ",0 ,0 ,0 ,0 ,"259,058,440 ","633,607,162 ","1,538.3",,,,,,,,,,,,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 "," 2,712 ",HR,DO,"1,140",155, 17.93 , 6.06 , 59.59 ,"71,702,169 ","72,690,180 ","71,811,535 ","878,645 ","4,340,836 ","4,004,874 ","335,962 ","12,084,328 ","11,949,339 ","733,965 ","674,258 ","238,645,812 ","1,445,244,645 ",207.8,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",MB,DO,779,0, 10.37 , 2.63 , 51.59 ,"22,810,260 ","25,479,827 ","22,704,051 ","2,775,776 ","2,415,184 ","2,189,702 ","225,482 ",0 ,0 ,0 ,0 ,"112,957,026 ","296,876,855 ","1,493.5",,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",DR,PT,612,0, 13.99 , 7.79 , 1.72 ,0 ,"21,329,393 ","17,828,666 ","3,500,727 ","1,720,907 ","1,273,984 ","446,923 ",0 ,0 ,0 ,0 ,"2,187,785 ","17,047,364 ",0.0,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",CR,PT,421,65, 29.98 , 20.63 , 43.10 ,"23,547,491 ","24,145,958 ","23,532,668 ","613,290 ","800,867 ","785,000 ","15,867 ","4,499,676 ","4,385,812 ","148,912 ","148,869 ","33,830,904 ","697,963,284 ",776.1,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",HR,DO,336,56, 15.27 , 3.51 , 114.67 ,"24,240,481 ","23,810,785 ","23,247,288 ","563,497 ","1,593,935 ","1,521,944 ","71,991 ","3,968,464 ","3,874,548 ","265,656 ","253,657 ","174,517,352 ","612,346,781 ",76.3,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",LR,DO,156,81, 9.24 , 2.66 , 91.79 ,"6,645,739 ","6,513,441 ","6,499,541 ","13,900 ","704,632 ","703,128 ","1,504 ","3,853,709 ","3,845,486 ","421,372 ","416,009 ","64,538,406 ","171,740,181 ",51.0,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",RB,DO,30,0, 8.43 , 1.83 , 90.04 ,"1,071,691 ","1,119,552 ","1,064,618 ","54,934 ","131,197 ","126,294 ","4,903 ",0 ,0 ,0 ,0 ,"11,371,335 ","20,862,301 ",10.4,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",TB,DO,22,0, 9.05 , 2.17 , 46.19 ,"264,719 ","258,782 ","257,499 ","1,283 ","28,794 ","28,446 ",348 ,0 ,0 ,0 ,0 ,"1,313,820 ","2,846,617 ",21.6,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",MB,PT,9,0, 11.70 , 2.32 , 24.57 ,"430,570 ","407,608 ","390,655 ","16,953 ","34,442 ","33,392 ","1,050 ",0 ,0 ,0 ,0 ,"820,494 ","1,903,546 ",80.0,,,,,,,,,,,,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 "," 2,374 ",FB,PT,9,0, 9.79 , 8.20 , 62.31 ,"238,929 ","233,617 ","230,425 ","3,192 ","24,256 ","23,538 ",718 ,0 ,0 ,0 ,0 ,"1,466,612 ","12,027,991 ",38.4,,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 "," 2,339 ",MB,DO,"1,174",0, 10.03 , 3.22 , 46.01 ,"40,117,253 ","45,504,084 ","39,793,477 ","5,710,607 ","4,373,898 ","3,966,008 ","407,890 ",0 ,0 ,0 ,0 ,"182,484,615 ","587,747,642 ","2,503.1",,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 "," 2,339 ",DR,PT,391,0, 10.27 , 6.98 , 1.63 ,0 ,"13,452,600 ","11,310,034 ","2,142,566 ","1,266,978 ","1,101,034 ","165,944 ",0 ,0 ,0 ,0 ,"1,792,284 ","12,508,326 ",0.0,,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 "," 2,339 ",CR,DO,339,80, 21.10 , 12.59 , 39.49 ,"19,396,304 ","20,443,066 ","19,334,288 ","1,108,778 ","964,258 ","916,264 ","47,994 ","5,259,514 ","4,984,666 ","248,072 ","236,202 ","36,187,570 ","455,691,636 ",446.9,,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 "," 2,339 ",HR,DO,284,61, 18.53 , 4.44 , 109.32 ,"17,442,182 ","17,419,496 ","17,265,382 ","154,114 ","940,725 ","932,000 ","8,725 ","3,356,333 ","3,325,399 ","181,271 ","179,511 ","101,883,835 ","452,194,921 ",74.9,,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 "," 2,339 ",SR,DO,121,121, 8.53 , 2.43 , 66.47 ,"3,377,044 ","3,442,485 ","3,307,488 ","134,997 ","403,609 ","387,621 ","15,988 ","3,442,485 ","3,307,488 ","403,609 ","387,621 ","25,766,746 ","62,557,838 ",82.9,,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 "," 2,339 ",TB,DO,30,0, 8.49 , 1.94 , 63.03 ,"957,576 ","893,480 ","875,662 ","17,818 ","105,126 ","103,135 ","1,991 ",0 ,0 ,0 ,0 ,"6,500,276 ","12,579,178 ",30.6,,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",VP,PT,686,0, 36.14 , 29.52 , 8.57 ,0 ,"9,349,083 ","9,349,083 ",0 ,"258,720 ","258,720 ",0 ,0 ,0 ,0 ,0 ,"2,217,577 ","65,458,980 ",0.0,,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",MB,DO,586,0, 12.21 , 5.13 , 20.97 ,"28,794,341 ","32,622,171 ","28,706,380 ","3,915,791 ","2,507,216 ","2,350,943 ","156,273 ",0 ,0 ,0 ,0 ,"49,296,860 ","253,126,149 ","2,402.6",,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",DR,PT,338,0, 15.34 , 11.23 , 1.57 ,0 ,"20,106,401 ","16,177,939 ","3,928,462 ","1,212,354 ","1,054,607 ","157,747 ",0 ,0 ,0 ,0 ,"1,659,276 ","18,641,406 ",0.0,,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",CB,DO,235,0, 25.14 , 17.51 , 26.15 ,"6,078,392 ","8,156,290 ","6,184,864 ","1,971,426 ","321,190 ","246,025 ","75,165 ",0 ,0 ,0 ,0 ,"6,433,259 ","112,626,224 ",579.4,,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",DT,PT,127,0, 29.71 , 10.16 , 3.49 ,0 ,0 ,"2,296,996 ",0 ,0 ,"77,309 ",0 ,0 ,0 ,0 ,0 ,"269,486 ","2,738,026 ",0.0,,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",MB,PT,116,0, 12.02 , 4.09 , 19.07 ,"6,029,976 ","6,908,519 ","6,022,798 ","885,721 ","535,992 ","501,029 ","34,963 ",0 ,0 ,0 ,0 ,"9,555,173 ","39,083,777 ","1,156.9",,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",CB,PT,64,0, 28.08 , 19.96 , 26.98 ,"2,062,486 ","2,866,253 ","2,088,875 ","777,378 ","100,675 ","74,399 ","26,276 ",0 ,0 ,0 ,0 ,"2,007,142 ","40,060,503 ",282.3,,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 "," 2,206 ",LR,DO,54,33, 11.31 , 2.83 , 61.27 ,"3,417,838 ","3,432,126 ","3,420,828 ","11,298 ","304,327 ","302,455 ","1,872 ","2,089,545 ","2,077,909 ","205,455 ","203,583 ","18,532,122 ","52,480,736 ",41.8,,,,,,,,,,,,,,,,,
Access Services,El Monte,CA,9157,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 1,955 ",DT,PT,"1,169",0, 22.73 , 14.99 , 2.60 ,0 ,0 ,"13,317,101 ",0 ,0 ,"585,805 ",0 ,0 ,0 ,0 ,0 ,"1,523,571 ","22,841,529 ",0.0,,,,,,,,,,,,,,,,,
Access Services,El Monte,CA,9157,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 1,955 ",DR,PT,786,0, 14.55 , 11.88 , 1.63 ,0 ,"28,425,533 ","24,707,073 ","3,718,460 ","1,986,913 ","1,698,302 ","288,611 ",0 ,0 ,0 ,0 ,"2,769,809 ","32,902,101 ",0.0,,,,,,,,,,,,,,,,,
Puerto Rico Highway and Transportation Authority - Publico,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 "," 1,884 ",PB,PT,"1,884",0, 11.02 , 4.23 , 12.20 ,0 ,"22,979,696 ","19,279,388 ","3,700,308 ","2,084,819 ","1,750,054 ","334,765 ",0 ,0 ,0 ,0 ,"21,353,376 ","90,291,870 ",0.0,,,,,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 "," 1,634 ",MB,DO,627,0, 11.33 , 3.59 , 42.53 ,"21,244,379 ","22,946,367 ","20,140,861 ","2,805,506 ","1,929,330 ","1,778,027 ","151,303 ",0 ,0 ,0 ,0 ,"75,619,281 ","271,568,640 ","1,156.3",,,,,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 "," 1,634 ",DR,PT,458,0, 13.85 , 9.34 , 1.60 ,0 ,"20,265,046 ","17,172,195 ","3,092,851 ","1,511,489 ","1,239,648 ","271,841 ",0 ,0 ,0 ,0 ,"1,981,855 ","18,511,796 ",0.0,,,,,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 "," 1,634 ",CB,PT,280,0, 29.82 , 41.62 , 18.64 ,"6,285,675 ","6,486,765 ","6,285,675 ","201,090 ","217,511 ","210,768 ","6,743 ",0 ,0 ,0 ,0 ,"3,928,069 ","163,486,232 ","1,248.2",,,,,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 "," 1,634 ",CR,PT,142,27, 38.49 , 29.71 , 54.02 ,"6,722,064 ","6,816,669 ","6,386,294 ","430,375 ","175,747 ","165,914 ","9,833 ","1,288,731 ","1,221,997 ","34,085 ","32,573 ","8,961,892 ","266,288,367 ",400.4,,,,,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 "," 1,634 ",HR,DO,54,9, 24.41 , 4.69 , 59.63 ,"5,017,500 ","5,209,167 ","5,003,458 ","205,709 ","214,782 ","204,958 ","9,824 ","1,110,038 ","1,069,076 ","45,565 ","43,646 ","12,221,949 ","57,376,807 ",29.4,,,,,,,,,,,,,,,,,
